net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,2
103,2
105,2
107,2
109,2
111,4
113,4
115,4
117,4
119,4
120,0
121,2
123,0
125,2
127,3
129,0
131,3
139,3
141,3
143,3
145,3
147,3
149,3
151,3
153,3
157,3
159,3
161,3
163,3
164,0
166,3
167,3
169,0
171,3
173,0
177,3
179,0
181,0
183,0
184,0
185,3
187,0
189,3
191,4
193,3
195,0
197,4
199,3
201,3
203,0
204,0
205,3
206,0
207,1
208,0
209,1
211,1
213,1
215,1
217,1
219,1
225,1
229,1
231,1
237,1
239,1
241,0
243,1
247,1
249,0
251,1
253,1
255,1
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
