net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,1
103,1
105,1
107,1
109,1
111,1
113,4
115,1
117,1
119,1
120,0
121,1
123,0
125,1
127,4
129,0
131,4
139,4
141,4
143,4
145,4
147,4
149,4
151,4
153,4
157,4
159,4
161,4
163,4
164,0
166,4
167,4
169,0
171,4
173,0
177,4
179,0
181,0
183,0
184,0
185,4
187,0
189,4
191,4
193,4
195,0
197,4
199,3
201,3
203,0
204,0
205,3
206,0
207,3
208,0
209,3
211,3
213,2
215,2
217,2
219,2
225,2
229,2
231,2
237,2
239,2
241,0
243,2
247,3
249,0
251,3
253,3
255,3
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
