10,9,27.85
15,38.68,23.76
20,29.44,26.91
35,25.46,10.52
40,27.02,9.81
50,33.01,3.01
60,23.9,29.94
601,23,29.49
61,23.71,29.03
101,13.81,22.94
103,12.96,21.31
105,16.97,21.28
107,18.45,20.46
109,17.64,18.92
111,20.21,17.53
113,22.04,16.61
115,20.98,19.18
117,21.69,21.28
119,23.7,22.76
120,22.08,23.1
121,23.54,25.5
123,23.37,27.31
125,24.59,25.64
127,29.29,26.4
129,30.32,26.39
131,37.89,29.55
139,33.28,24.54
141,35.68,23.08
143,37.47,21.97
145,33.02,19.29
147,30.24,20.38
149,29.62,20.74
151,28.29,21.39
153,28.13,22.63
157,24.85,20.16
159,23.12,17.5
161,25.1,15.28
163,25.39,14.98
164,25.98,15.14
166,26.48,15.13
167,25.88,12.98
169,25.68,12.74
171,26.65,11.8
173,26.87,11.59
177,25.9,10.58
179,25.71,10.4
181,25.72,10.74
183,25.45,10.18
184,25.15,9.52
185,25.01,9.67
187,23.64,11.04
189,24.15,11.37
191,22.1,14.07
193,22.88,14.35
195,23.18,14.72
197,20.97,15.18
199,29.42,8.44
201,30.89,8.57
203,31.14,8.89
204,23.8,10.9
205,29.2,6.46
206,31.66,6.64
207,31,6.61
208,32.54,6.81
209,33.76,6.59
211,34.2,5.54
213,35.26,6.16
215,39.95,8.73
217,42.11,8.67
219,44.86,9.32
225,43.53,7.38
229,36.16,3.49
231,38.38,2.54
237,35.37,3.08
239,35.76,2.31
241,35.87,2.11
243,37.04,0
247,35.02,2.05
249,35.02,1.81
251,34.15,1.1
253,32.17,1.88
255,33.51,2.45
257,21.17,23.32
259,20.8,23.4
261,20.79,21.45
263,20.32,21.57
265,25.39,13.6
267,23.38,12.95
269,25.03,12.14
271,25.97,11
273,29.16,7.38
275,31.07,8.29
River,24.15,31.06
Lake,8,27.53
1,27.46,9.84
2,32.99,3.45
3,29.41,27.27
