net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,3
103,3
105,3
107,3
109,1
111,1
113,1
115,1
117,3
119,3
120,0
121,3
123,0
125,3
127,2
129,0
131,2
139,2
141,2
143,2
145,2
147,2
149,2
151,3
153,2
157,3
159,1
161,1
163,1
164,0
166,1
167,1
169,0
171,1
173,0
177,1
179,0
181,0
183,0
184,0
185,1
187,0
189,1
191,1
193,1
195,0
197,1
199,4
201,4
203,0
204,0
205,4
206,0
207,4
208,0
209,4
211,4
213,4
215,4
217,4
219,4
225,4
229,4
231,4
237,4
239,4
241,0
243,4
247,4
249,0
251,4
253,4
255,4
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
