net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,4
103,4
105,4
107,4
109,4
111,4
113,4
115,4
117,4
119,1
120,0
121,1
123,0
125,1
127,1
129,0
131,1
139,1
141,1
143,1
145,1
147,1
149,1
151,1
153,1
157,1
159,4
161,4
163,4
164,0
166,4
167,4
169,0
171,2
173,0
177,2
179,0
181,0
183,0
184,0
185,2
187,0
189,2
191,4
193,4
195,0
197,4
199,2
201,2
203,0
204,0
205,2
206,0
207,2
208,0
209,2
211,3
213,3
215,3
217,3
219,3
225,3
229,3
231,3
237,3
239,3
241,0
243,3
247,3
249,0
251,3
253,3
255,3
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
