net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,4
103,4
105,4
107,4
109,4
111,4
113,2
115,4
117,4
119,4
120,0
121,4
123,0
125,4
127,1
129,0
131,1
139,1
141,1
143,1
145,1
147,1
149,1
151,1
153,1
157,2
159,2
161,2
163,2
164,0
166,2
167,2
169,0
171,2
173,0
177,2
179,0
181,0
183,0
184,0
185,2
187,0
189,2
191,2
193,2
195,0
197,2
199,2
201,3
203,0
204,0
205,3
206,0
207,3
208,0
209,3
211,3
213,3
215,3
217,3
219,3
225,3
229,3
231,3
237,3
239,3
241,0
243,3
247,3
249,0
251,3
253,3
255,3
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
