net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,2
103,2
105,2
107,2
109,2
111,2
113,2
115,2
117,2
119,2
120,0
121,2
123,0
125,2
127,1
129,0
131,1
139,1
141,1
143,1
145,1
147,1
149,1
151,2
153,2
157,2
159,2
161,3
163,3
164,0
166,3
167,3
169,0
171,3
173,0
177,3
179,0
181,0
183,0
184,0
185,3
187,0
189,3
191,2
193,3
195,0
197,2
199,3
201,4
203,0
204,0
205,4
206,0
207,4
208,0
209,4
211,4
213,4
215,4
217,4
219,4
225,4
229,4
231,4
237,4
239,4
241,0
243,4
247,4
249,0
251,4
253,4
255,4
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
