net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,4
103,4
105,4
107,4
109,4
111,4
113,3
115,3
117,3
119,3
120,0
121,3
123,0
125,3
127,3
129,0
131,3
139,3
141,3
143,3
145,3
147,3
149,3
151,3
153,3
157,3
159,3
161,3
163,3
164,0
166,3
167,2
169,0
171,2
173,0
177,2
179,0
181,0
183,0
184,0
185,2
187,0
189,2
191,3
193,3
195,0
197,4
199,2
201,2
203,0
204,0
205,2
206,0
207,2
208,0
209,2
211,1
213,1
215,1
217,1
219,1
225,1
229,1
231,1
237,1
239,1
241,0
243,1
247,1
249,0
251,1
253,1
255,1
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
