net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,2
103,2
105,2
107,2
109,2
111,3
113,3
115,2
117,2
119,2
120,0
121,2
123,0
125,2
127,4
129,0
131,4
139,4
141,4
143,4
145,4
147,4
149,4
151,4
153,4
157,2
159,3
161,3
163,3
164,0
166,3
167,3
169,0
171,3
173,0
177,1
179,0
181,0
183,0
184,0
185,1
187,0
189,3
191,3
193,3
195,0
197,3
199,1
201,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
211,1
213,1
215,1
217,1
219,1
225,1
229,1
231,1
237,1
239,1
241,0
243,1
247,1
249,0
251,1
253,1
255,1
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
