net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,2
103,2
105,2
107,2
109,2
111,2
113,2
115,2
117,2
119,3
120,0
121,3
123,0
125,3
127,3
129,0
131,3
139,3
141,3
143,3
145,3
147,3
149,3
151,3
153,3
157,2
159,2
161,2
163,2
164,0
166,2
167,2
169,0
171,2
173,0
177,2
179,0
181,0
183,0
184,0
185,2
187,0
189,2
191,2
193,2
195,0
197,2
199,1
201,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
211,1
213,1
215,4
217,4
219,4
225,4
229,4
231,4
237,1
239,4
241,0
243,4
247,1
249,0
251,1
253,1
255,1
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
