net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,2
103,2
105,2
107,2
109,2
111,4
113,4
115,2
117,2
119,2
120,0
121,2
123,0
125,2
127,2
129,0
131,3
139,3
141,3
143,3
145,3
147,3
149,3
151,2
153,2
157,2
159,4
161,4
163,4
164,0
166,4
167,4
169,0
171,4
173,0
177,1
179,0
181,0
183,0
184,0
185,1
187,0
189,4
191,4
193,4
195,0
197,4
199,1
201,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
211,1
213,1
215,1
217,1
219,1
225,1
229,1
231,1
237,1
239,1
241,0
243,1
247,1
249,0
251,1
253,1
255,1
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
