net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,4
103,1
105,4
107,1
109,1
111,1
113,1
115,1
117,4
119,4
120,0
121,4
123,0
125,4
127,4
129,0
131,4
139,4
141,4
143,4
145,4
147,4
149,4
151,4
153,4
157,4
159,1
161,1
163,1
164,0
166,1
167,1
169,0
171,1
173,0
177,1
179,0
181,0
183,0
184,0
185,1
187,0
189,1
191,1
193,1
195,0
197,1
199,2
201,2
203,0
204,0
205,2
206,0
207,2
208,0
209,2
211,2
213,2
215,3
217,3
219,3
225,3
229,3
231,3
237,3
239,3
241,0
243,3
247,3
249,0
251,3
253,3
255,3
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
